176,Runaway (U & I),Galantis,177756,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo
177,Mama Said,Lukas Graham,177728,https://open.spotify.com/track/5ArQzSBevAdXTxRY6Ulhbq
178,Body Say,Demi Lovato,176566,https://open.spotify.com/track/0i7bg5CcqyaceKjXaPXywN
179,Se Olha No Espelho - Ao Vivo,Maiara & Maraisa,176282,https://open.spotify.com/track/2wmY09fsvmYgA7bKZzjAVt
180,Fast Car - Radio Edit,Jonas Blue,175960,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
181,Pumped Up Kicks,Foster The People,175269,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
182,Solteiro de Novo - Ao Vivo,Wesley Safadão,175264,https://open.spotify.com/track/0Or4rCFurYpUxYh0bbpxRY
183,Thinking Out Loud,Ed Sheeran,175099,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
184,Where Are Ü Now (with Justin Bieber),Jack Ü,174761,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
185,Não Me Deixe Sozinho,Nego do Borel,174515,https://open.spotify.com/track/0gNxi721t2RcPt5LdWGfpb
186,Coração Machucado - Ao Vivo,Wesley Safadão,172163,https://open.spotify.com/track/0GhaUJVyWwAKDELlAAFWyo
187,O Que É Amor Pra Você - Ao Vivo,Marília Mendonça,171377,https://open.spotify.com/track/1DdnD06naRACOpK8lAnLp1
188,Counting Stars,OneRepublic,170471,https://open.spotify.com/track/1QzFhzIOW7CyRJLpmq5CM0
189,Broccoli (feat. Lil Yachty),D.R.A.M.,169378,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
190,Bang,Tiago Iorc,168745,https://open.spotify.com/track/3SjjCMrcZxjXdFmc7gT0S9
191,Elas Gostam,MC Kevinho,168503,https://open.spotify.com/track/5j0tH4MzB4QyJLX8Ys9ofG
192,A Praga,Haikaiss,168097,https://open.spotify.com/track/6jlT1zT7tKV8YUqJe08rfD
193,Até Ex Duvida - Ao Vivo,Day e Lara,167798,https://open.spotify.com/track/6jPkYQ3B7b753JTZhR207H
194,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,166069,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
195,Ain't Your Mama,Jennifer Lopez,165577,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
196,Hello,Adele,165317,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw
197,Logo Eu,Jorge & Mateus,164114,https://open.spotify.com/track/2655xYZ347fG2N6OjkoMQ8
198,Sweet Child O' Mine,Guns N' Roses,163183,https://open.spotify.com/track/5r9AgnhkPQXeKG1w5rauDq
199,Wonderwall - Remastered,Oasis,162392,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
200,Quando O Mel É Bom - Ao Vivo,Simone & Simaria,160598,https://open.spotify.com/track/21j9YxYHSzrdcLBX3mb5UL
