Position,"Track Name",Artist,Streams,URL
92,"i hate u, i love u (feat. olivia o'brien)",gnash,379132,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
93,"Fake Love",Drake,377103,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN
94,"Love on the Weekend","John Mayer",373666,https://open.spotify.com/track/0j2WBxWZnWti5TpSxjJvPb
95,"Call On Me - Ryan Riback Extended Remix",Starley,362915,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
96,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",357689,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
97,"Cool Girl","Tove Lo",353338,https://open.spotify.com/track/5dKyZWlgjWw1oJgLa4GCZD
98,"Love Yourself","Justin Bieber",336001,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
99,"Malbec (Part.: Dennis Dj) - Ao Vivo","Henrique & Diego",332535,https://open.spotify.com/track/7vLG0D8ouHd4brF5TVJQya
100,"Perfect Illusion","Lady Gaga",330422,https://open.spotify.com/track/5ou59ERA2f7ffyAxAcZyVz
101,Photograph,"Ed Sheeran",327949,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
102,"Lean On (feat. MØ & DJ Snake)","Major Lazer",319501,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
103,"That's My Girl","Fifth Harmony",315575,https://open.spotify.com/track/2ACOWPLUe4A4KuQ5ioD2od
104,"Agora Eu Quero Ir",Anavitória,315223,https://open.spotify.com/track/2yGnStdGP0V45lPXAJpmDb
105,Singular,Anavitória,299546,https://open.spotify.com/track/3eGK0WFi6ISJ9UZA6Za4HX
106,"Setting Fires","The Chainsmokers",297920,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
107,"Perfect Strangers","Jonas Blue",297798,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
108,Panda,Desiigner,288790,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
